pair1,pair2,study,species
NCF1,NCM12,Bogdan,Caracal caracal
12F,2F,Wilmers,Puma concolor
schaller,shack,Gustavo,Dataset1
B03F_5622/5974,B05F_5628/5620,Serieys,CoyoteValley
164886,165164,Gustavo,Cerdocyon thous
B080,B083,Hebblewhite,Canis lupus
B01M_5623,B05F_5628/5620,Serieys,CoyoteValley
B19F_5971,B20F_5968,Serieys,CoyoteValley
BORR,RMBR,Bertreaux,Vulpes lagopus
150402,150462,Gustavo,Cerdocyon thous
31M,7F,Wilmers,Puma concolor
150102,164900,Gustavo,Cerdocyon thous
B12M_5617,B17F_5621,Serieys,CoyoteValley
B081,B084,Hebblewhite,Canis lupus
Ginger,Marina,Drouilly,Caracal caracal
id17,per,Gustavo,Cerdocyon thous
PEC001,PEC019,Wheeldon,Canis latrans
PEC068,PEC074,Wheeldon,Canis latrans
B13M_5616,B17F_5621,Serieys,CoyoteValley
Bobcat_B31M,Bobcat_B32F,Serieys,AromasHills
Frans_2,Spank,Walton,Vulpes vulpes
29F,36M,Wilmers,Puma concolor
id15,id18,Gustavo,Cerdocyon thous
PEC104,PEC107,Wheeldon,Canis latrans
B09M_5609,B10F_5972,Serieys,CoyoteValley
id13,id17,Gustavo,Cerdocyon thous
PEC039,PEC041,Wheeldon,Canis latrans
Chunga,Victoria,Wilmers,Panthera leo
RMBR,RMJJ,Bertreaux,Vulpes lagopus
B13M_5616,B15M_5612,Serieys,CoyoteValley
Bobcat_B38M,Bobcat_GF01F,Serieys,AromasHills
Bigpaw,Sunshine,Drouilly,Caracal caracal
B12M_5617,B15M_5612,Serieys,CoyoteValley
Faya,Fleita,Palomares,Felis silvestris
Bobcat_B28M,Bobcat_B30F,Serieys,AromasHills
Bobcat_B28M,Bobcat_B37M,Serieys,AromasHills
Ern,Kev,Roshier,Vulpes vulpes
id15,lana,Gustavo,Cerdocyon thous
PEC104,PEC112,Wheeldon,Canis latrans
BORR,JVOJ,Bertreaux,Vulpes lagopus
Cecia,Margarita,Wilmers,Panthera leo
1649671,165252,Gustavo,Cerdocyon thous
B06M_5625,B07M_5627,Serieys,CoyoteValley
PEC081,PEC106,Wheeldon,Canis latrans
Faya,Tejo,Palomares,Felis silvestris
150102,150552,Gustavo,Cerdocyon thous
B04M_5619,B05F_5628/5620,Serieys,CoyoteValley
BVOB,OBBB,Bertreaux,Vulpes lagopus
PEC019,PEC020,Wheeldon,Canis latrans
